date,close,high,low,ma10,ma20,ma5,open,p_change,price_change,turnover,v_ma10,v_ma20,v_ma5,volume
2016-11-25,8.79,9.0,8.55,8.829,8.582,8.874,8.87,-1.46,-0.13,3.31,169397.04,168655.83,189536.45,148161.36
2016-11-28,8.83,8.89,8.71,8.832,8.619,8.884,8.81,0.34,0.03,2.42,159314.84,169577.76,190530.37,108433.56
2016-11-29,8.56,8.82,8.3,8.8,8.636,8.814,8.82,-2.95,-0.26,3.1,154671.68,171680.07,177117.26,138930.34
2016-11-30,8.48,8.57,8.42,8.774,8.651,8.716,8.52,-0.82,-0.07,1.73,150946.2,171210.1,127710.88,77449.81
2016-12-01,8.49,8.55,8.4,8.75,8.662,8.63,8.48,0.24,0.02,1.36,145904.23,167281.51,106771.47,60882.29
2016-12-02,8.34,8.55,8.31,8.707,8.668,8.54,8.55,-1.77,-0.15,1.71,140994.75,166514.92,92453.05,76569.23
2016-12-05,8.33,8.41,8.14,8.662,8.671,8.44,8.2,0.0,0.0,1.68,138178.88,163717.26,85827.39,75305.3
2016-12-06,8.33,8.44,8.31,8.604,8.668,8.394,8.35,-0.12,-0.01,1.33,123532.22,154706.99,69947.18,59529.26
2016-12-07,8.47,8.49,8.32,8.554,8.676,8.392,8.38,1.56,0.13,1.69,98654.16,150585.94,69597.44,75701.12
2016-12-08,8.45,8.5,8.38,8.507,8.672,8.384,8.48,-0.24,-0.02,1.3,87919.84,142680.09,69068.21,58236.14
2016-12-09,8.44,8.47,8.39,8.472,8.651,8.404,8.45,-0.12,-0.01,1.1,78015.16,123706.1,63577.27,49114.52
2016-12-12,8.09,8.65,8.05,8.398,8.615,8.356,8.42,-4.15,-0.35,3.09,80987.16,120151.0,76146.93,138153.59
2016-12-13,8.47,8.5,7.87,8.389,8.595,8.384,8.04,4.7,0.38,4.54,87443.49,121057.58,104939.8,203493.62
2016-12-14,8.33,8.56,8.26,8.374,8.574,8.356,8.39,-1.65,-0.14,3.4,94940.75,122943.47,120284.05,152422.38
2016-12-15,8.45,8.47,8.21,8.37,8.56,8.356,8.24,1.44,0.12,2.68,100855.28,123379.75,132642.35,120027.64
2016-12-16,9.3,9.3,8.37,8.466,8.587,8.528,8.38,10.06,0.85,7.47,126644.17,133819.46,189711.08,334458.16
2016-12-19,9.95,10.2,9.52,8.628,8.645,8.9,9.77,6.99,0.65,22.06,217897.97,178038.43,359649.02,987843.31
2016-12-20,9.67,9.9,9.5,8.762,8.683,9.14,9.9,-2.81,-0.28,11.99,265617.47,194574.84,426295.14,536724.19
2016-12-21,9.7,9.81,9.53,8.885,8.72,9.414,9.73,0.31,0.03,9.92,302491.18,200572.67,484698.32,444438.28
2016-12-22,9.58,9.72,9.42,8.998,8.753,9.64,9.63,-1.24,-0.12,7.37,329657.9,208788.87,526673.45,329903.31
2016-12-23,9.33,9.66,9.19,9.087,8.78,9.646,9.53,-2.61,-0.25,7.65,358990.8,218502.98,528270.52,342443.53
2016-12-26,9.41,9.48,9.2,9.219,8.809,9.538,9.25,0.86,0.08,5.51,369842.81,225414.98,380036.59,246673.66
2016-12-27,9.34,9.4,9.11,9.306,8.848,9.472,9.35,-0.74,-0.07,5.5,374117.78,230780.63,321940.42,246243.3
2016-12-28,9.38,9.39,9.26,9.411,8.893,9.408,9.33,0.43,0.04,3.92,376432.57,235686.66,268166.82,175570.3
2016-12-29,9.13,9.38,9.1,9.479,8.925,9.318,9.38,-2.67,-0.25,4.48,384499.69,242677.48,242325.92,200698.83
2016-12-30,9.11,9.2,9.03,9.46,8.963,9.274,9.12,-0.22,-0.02,3.47,366592.88,246618.53,204915.23,155390.08
2017-01-03,9.31,9.42,9.15,9.396,9.012,9.254,9.16,2.19,0.2,5.3,291545.27,254721.62,203053.94,237367.2
2017-01-04,9.5,9.54,9.25,9.379,9.071,9.286,9.33,2.04,0.19,6.07,265072.36,265344.91,208204.31,271995.12
2017-01-05,9.35,9.52,9.34,9.344,9.115,9.28,9.45,-1.58,-0.15,4.42,240420.28,271455.73,212673.74,197917.45
2017-01-06,9.38,9.43,9.22,9.324,9.161,9.33,9.33,0.32,0.03,4.53,227725.72,278691.81,213125.52,202957.77
2017-01-09,9.53,9.54,9.35,9.344,9.216,9.414,9.35,1.6,0.15,4.9,215423.86,287207.33,225932.48,219424.84
2017-01-10,9.37,9.56,9.35,9.34,9.28,9.426,9.5,-1.68,-0.16,3.96,208471.79,289157.3,213889.64,177153.02
2017-01-11,9.03,9.36,9.02,9.309,9.308,9.332,9.32,-3.63,-0.34,4.73,205010.22,289564.0,201816.13,211627.59
2017-01-12,8.83,9.11,8.79,9.254,9.333,9.228,9.0,-2.21,-0.2,2.78,199904.44,288168.5,187135.14,124512.49
